,Id,Unnamed: 0,DailyOutput,DailyOutput_lead180,DailyOutput_lag30,DailyOutput_lag60,DailyOutput_lag90,DailyOutput_lag180,DailyOutput_lag270,DailyOutput_lag360,DailyOutput_Change_30,DailyOutput_Change_60,DailyOutput_Change_90,DailyOutput_Change_180,DailyOutput_Change_270,DailyOutput_Change_360,dayofweek,dayofyear,sin_day,cos_day,dayofmonth
0,1,4925.0,3.7094567831004484,3.693209682433461,3.6901181738938456,3.6664335901954,3.6408221460090004,3.557572670928455,3.4789594410429383,3.409102493225271,0.711938822709072,0.7274877352517923,0.7418412520986069,0.7849698152503726,0.8087438078637833,0.8300779783407393,3.0034147622800105,182.31310743367482,0.0027783357385149417,0.000568058405784185,15.752561071710009
1,2,11945.5,3.8258488083946496,3.875085087581602,3.781575839627611,3.7373028708605727,3.693029902093534,3.5629980120553526,3.49062754640815,3.406785690457955,0.7506952344628063,0.8041043571335067,0.8452535479490855,0.9447751722663418,0.8900018929083842,0.8603067095539809,3.0026413100898046,182.7443211833069,0.0017769673364299912,0.0015319034756739087,15.766244057052297
2,3,18943.5,3.6296170164072388,3.667784075673276,3.5984636254922364,3.5650114044038936,3.5318378231088547,3.4325814358271587,3.3488171933113264,3.2622856638196693,0.7238121308094071,0.7470211177968235,0.7581433688852227,0.7944795912849836,0.7912094606554793,0.7858082036216193,3.0026274303730953,182.11560693641619,0.0018763656616596323,0.0009861628023604932,15.751445086705202
3,4,25961.0,3.5430786510738814,3.6392241249958177,3.51452323711113,3.484959211601171,3.4583422763651237,3.377827319955229,3.2970007113171134,3.2093664083704794,0.7237576679767217,0.7556991656727502,0.7805957408639996,0.818657047765139,0.827353135890451,0.8345509472710413,3.003438243850833,182.83734461782598,0.001995082576805042,0.00033319623556985357,15.758793969849247
4,5,32984.0,3.633875432804575,3.6604914537406392,3.602326248954354,3.5704803835309016,3.538169836227316,3.439654846189541,3.349947303562459,3.262636041309497,0.7196353815468917,0.7472872411592222,0.7665045308271873,0.8030607216412071,0.7989568827937485,0.8254896233951454,3.001600426780475,183.38543611629768,0.0011868226048761088,0.0005546138264655753,15.767938116831155
5,6,39964.5,3.748656013501544,3.782412799720513,3.7197483984524813,3.6929414921579666,3.665538455637252,3.5768929223135553,3.4849977923218156,3.4010167643404574,0.7245389735332926,0.7498624272164502,0.7691347119182388,0.8307775891025329,0.8465905100809442,0.8482846583309902,3.0023696682464456,182.20300157977883,0.0022051077588542863,0.0009300018637851695,15.741969457609269
6,7,46966.0,3.712113584120592,3.697071199752485,3.689295323113433,3.6646464521464144,3.6398299887901038,3.5602744639110737,3.470891568085483,3.3847416369333594,0.7216718500610418,0.7462415729820823,0.7655506933864991,0.8110088385780518,0.8088298710209496,0.8231111913298534,3.0023615848858567,182.15245342429807,0.00047712923375053127,0.0011581967099202899,15.769089477827341
7,8,54002.5,3.5756189157783513,3.650691998907071,3.541211135683995,3.5062882630105143,3.4716511704464086,3.3667853026950936,3.27179170123132,3.172476291039084,0.7212630172060214,0.7481715340242739,0.7713419153444666,0.8431730657221318,0.8418424002440612,0.8307089673466547,3.0024,183.40693333333334,0.0007937458855459529,0.0022495631401814953,15.761333333333333
8,9,60980.5,3.737226695059104,3.829197944193176,3.7078817495839993,3.6745393335628775,3.641001017425076,3.5420110712271646,3.453765143875871,3.3652028771959226,0.7176680177233872,0.7413471816509732,0.7619465389166279,0.8075158375010287,0.8063427019527284,0.8041087251482344,3.002884111169376,182.0812794965915,0.0019047448120227662,0.0004472131794186718,15.757996853696906
9,10,67991.0,3.5537547863672065,3.580863457976465,3.520426354565949,3.489705130723632,3.461498680727405,3.3889252376093033,3.315299584934452,3.251329324319499,0.7222381749914555,0.7508602837966183,0.7719585652069336,0.819176249343176,0.8430146445664559,0.8132303036995675,3.0026267402153928,182.2421854478592,0.0019277158359601921,0.000747481358418575,15.762017336485421
